TopicID,ForumID,UserID,UserName,Posted,Topic,Views,Priority,PollID,TopicMovedID,LastPosted,LastMessageID,LastUserID,LastUserName,NumPosts,Flags,IsDeleted,IsQuestion,AnswerMessageId,LastMessageFlags,TopicImage
157,3,259,NULL,2013-01-04 16:31:14.880,Email Test,4439,0,NULL,NULL,2013-01-04 17:16:10.520,304,34,NULL,2,0,0,0,NULL,22,NULL
158,5,192,NULL,2013-01-07 15:45:40.187,Anchor size/type advice,2971,0,NULL,NULL,2013-01-08 22:31:15.020,307,34,NULL,2,0,0,0,NULL,22,NULL
159,5,192,NULL,2013-01-07 16:28:00.687,Fibreglass repair,3270,0,NULL,NULL,2013-01-08 22:33:29.437,308,34,NULL,2,0,0,0,NULL,22,NULL
160,1,262,NULL,2013-01-14 07:31:04.660,"Greetings from Brisbane, Australia",0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
161,1,2,NULL,2013-01-25 15:49:39.913,The New 375 Walk Around.....,2838,0,NULL,NULL,2013-01-25 15:49:39.913,310,2,NULL,1,0,0,0,NULL,22,NULL
162,1,268,NULL,2013-01-26 08:16:04.107,Nike Weather Maximum Offers It is Basic Boots and shoes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
163,1,268,NULL,2013-01-26 08:17:43.727,Thomas Sabo generally is a Well-Known to locate,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
164,1,268,NULL,2013-01-26 08:19:56.530,Nike Weather Maximum Offers It is Basic Boots and shoes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
165,1,269,NULL,2013-01-28 03:29:19.680,Fahrenheit 451,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
166,1,270,NULL,2013-02-01 03:11:29.653,a range of Thomas Sabo allure carriers and lots of much more,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
167,1,270,NULL,2013-02-01 03:17:09.933,a range of Thomas Sabo allure carriers and lots of much more,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
168,3,271,NULL,2013-02-01 13:33:18.020,Live Sex Chat,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
169,1,272,NULL,2013-02-02 11:30:20.847,DIFFERENCE BETWEEN A 286 AND 289 OPEN?,2506,0,NULL,NULL,2013-02-04 12:57:04.213,324,34,NULL,2,0,0,0,NULL,22,NULL
170,1,273,NULL,2013-02-03 02:23:25.220,Can you attach a trailer to a Dodge Intrepid?,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
171,5,274,NULL,2013-02-07 04:29:28.197,Discount Kitchens Oxford,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
172,2,275,NULL,2013-02-07 06:16:19.513,pandora charms is actually cut from any url string,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
173,2,275,NULL,2013-02-07 06:17:50.880,pandora charms is actually cut from any url string,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
174,1,280,NULL,2013-02-11 20:59:06.190,New to the Family - - 1991 Intrepid 246,2460,0,NULL,NULL,2013-02-11 22:15:34.040,329,34,NULL,2,0,0,0,NULL,22,NULL
175,1,281,NULL,2013-02-12 15:41:16.590,Hello to everyone!!,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
176,1,283,NULL,2013-02-14 08:15:20.130,Kitchens Wolverhampton,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
177,1,283,NULL,2013-02-14 08:16:30.280,Kitchens Wolverhampton,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
178,3,285,NULL,2013-02-26 02:22:47.557,timberland is essential to accomplish good returns from your investment,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
179,1,285,NULL,2013-02-26 02:36:02.703,akley sunglasses canada not really should see,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
